关键词,省份,城市,县/区,歌曲名,歌曲类型,乐谱URL,音频URL,地址URL
双叠翠,河南省,南阳市,,双叠翠（河南省大调曲子）,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=97faadef-2f69-41d9-b4de-ed0a3b7488a1,https://china.rymusic.art/details/27826
双叠翠,河南省,南阳市,,双叠翠（河南省大调曲子）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=46e4f08a-bb8e-4d46-8550-8451e01e96c3,https://china.rymusic.art/dc/awtsupport/play/preview?pid=989944b3-8830-44aa-aab5-8995ac57da59,https://china.rymusic.art/details/31800
双叠翠,河南省,,,双叠翠（河南曲剧）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=fca6541b-53a8-4b3f-bfc7-21f7ff8f793b,,https://china.rymusic.art/details/31848
双叠翠,河南省,,,双叠翠（河南省大调曲子）2,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=15fa31b3-d3b3-4b05-808c-eb3f3d1a2dcd,,https://china.rymusic.art/details/31904
双叠翠,山东省,,,双叠翠（山东省南路山东琴书）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=dcc5c0d9-5f45-4e4d-83d7-33850cde2059,,https://china.rymusic.art/details/31826
鲜花调,江苏省,南京市,,鲜花调（江苏省南京市六合区民歌）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=f5f05ae7-c81d-44df-b504-a1bb315b8517,https://china.rymusic.art/dc/awtsupport/play/preview?pid=d1438259-ce49-437c-9aa8-8088504fdb8e,https://china.rymusic.art/details/31973
鲜花调,江苏省,徐州市,,鲜花调（江苏省徐州市民歌）,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=32b3ecd8-7134-40d9-85e9-e556cf4533e1,,https://china.rymusic.art/details/31913
鲜花调,江苏省,连云港市,海州区,鲜花调（江苏省海州五大宫调）,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=9f00b450-2bb4-43cf-a6c9-d18e1124ca94,https://china.rymusic.art/details/27835
鲜花调,江苏省,连云港市,海州区,鲜花调（江苏省海州五大宫调）2,音频,,https://china.rymusic.art/dc/awtsupport/play/preview?pid=0b75cc63-ef9a-49e3-9ac9-1d27c668fa28,https://china.rymusic.art/details/29432
鲜花调,江苏省,连云港市,海州区,鲜花调（江苏省海州五大宫调）2,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=5ad085a7-6eec-4922-a0e0-cac4e0b2998b,https://china.rymusic.art/dc/awtsupport/play/preview?pid=812c2ebb-6765-44bf-b45e-792c0d52d620,https://china.rymusic.art/details/31890
鲜花调,江苏省,苏州市,,鲜花调（江苏省苏州民歌）2,乐谱,https://china.rymusic.art/dc/awtsupport/play/preview?pid=6ea2f652-5003-46b1-881b-762b79e39554,,https://china.rymusic.art/details/31936
